EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
747190,SOUTHERN NASSAU (ZONE), ,04/04/2018,1700,Strong Wind,44.00, ,0,0,10000,0,NY,EST-5,MG,124275,Z,179,OKX,0,0,Mesonet, , , , , , , , , , , , ,"A mesonet station located at the Jones Beach Coast Guard Station measured a 51 mph wind gust at 603 pm.","Strong winds occurred ahead of and behind a cold front.",18
750101,NORTHERN NASSAU (ZONE), ,04/16/2018,300,Strong Wind,48.00, ,0,0,10000,0,NY,EST-5,EG,125062,Z,177,OKX,0,0,Mesonet, , , , , , , , , , , , ,"A mesonet station in Bayville measured a wind gust up to 60 mph around 356 am. The station is elevated at a height of 45 ft.","Strong winds occurred ahead of deep low pressure and associated warm front.",19
774965,NORTHERN NASSAU (ZONE), ,07/22/2018,300,Strong Wind,28.00, ,0,0,50000,0,NY,EST-5,EG,129333,Z,177,OKX,0,0,Public, , , , , , , , , , , , ,"At 430 am, the public reported trees and power lines down in Syosset behind Winthrop Avenue.","Low pressure approached from the south, and gusty easterly winds were observed ahead of it.",20
784044,SOUTHERN NASSAU (ZONE), ,10/27/2018,700,Strong Wind,42.00, ,0,0,100000,0,NY,EST-5,MG,131066,Z,179,OKX,0,0,Broadcast Media, , , , , , , , , , , , ,"At 845 am, the media reported a tree down on Merrick Road, blocking the right and center lanes in Wantagh. In South Hempstead, the Department of Highways reported a tree down blocking the right lane of the eastbound Southern State Parkway around exit 20. This occurred around 9 am. A gust up to 48 mph was measured at the Jones Beach Coast Guard Station at 808 am.","A coastal storm moved to the east of the area.",21
784048,NORTHERN NASSAU (ZONE), ,10/27/2018,800,Strong Wind,48.00, ,0,0,10000,0,NY,EST-5,EG,131066,Z,177,OKX,0,0,Mesonet, , , , , , , , , , , , ,"An elevated mesonet station measured a 60 mph gust in Bayville at 940 am. The elevation is 45 feet. Around that time, other nearby stations at lower elevations reported gusts 45 to 50 mph.","A coastal storm moved to the east of the area.",22
789434,NORTHERN NASSAU (ZONE), ,11/15/2018,2300,Strong Wind,48.00, ,0,0,10000,0,NY,EST-5,EG,131948,Z,177,OKX,0,0,Mesonet, , , , , , , , , , , , ,"The elevated mesonet station in Bayville reported winds in excess of 50 mph around midnight on the 16th.","Strong east to northeast winds developed across the region Thursday Night into early Friday morning, as an intensifying coastal storm tracked across the area.",23
789436,SOUTHERN NASSAU (ZONE), ,11/16/2018,0,Strong Wind,47.00, ,0,0,10000,0,NY,EST-5,MG,131948,Z,179,OKX,0,0,Mesonet, , , , , , , , , , , , ,"The mesonet station at the Jones Beach Coast Guard station reported a wind gust to 54 mph around 138 am on the 16th.","Strong east to northeast winds developed across the region Thursday Night into early Friday morning, as an intensifying coastal storm tracked across the area.",24
803549,NORTHERN NASSAU (ZONE), ,01/10/2019,1200,Strong Wind,45.00, ,0,0,10000,0,NY,EST-5,MG,134175,Z,177,OKX,0,0,Mesonet, , , , , , , , , , , , ,"The mesonet station in Bayville measured a 52 mph wind gust at 133 pm.","Persistently gusty winds occurred as low pressure moved northeast of the area.",25
803560,SOUTHERN NASSAU (ZONE), ,01/21/2019,200,Strong Wind,44.00, ,0,0,10000,0,NY,EST-5,MG,134176,Z,179,OKX,0,0,Mesonet, , , , , , , , , , , , ,"The mesonet station located at the Jones Beach Coast Guard station measured a 51 mph wind gust at 323 am.","Deep low pressure tracked to the northeast of the area.",26
803554,NORTHERN NASSAU (ZONE), ,01/21/2019,1500,Strong Wind,49.00, ,0,0,10000,0,NY,EST-5,MG,134176,Z,177,OKX,0,0,Mesonet, , , , , , , , , , , , ,"The elevated mesonet station in Bayville reported a wind gust up to 57 mph at 443 pm.","Deep low pressure tracked to the northeast of the area.",27
803597,SOUTHERN NASSAU (ZONE), ,01/24/2019,1100,Strong Wind,27.00, ,0,0,10000,0,NY,EST-5,MS,134181,Z,179,OKX,0,0,Mesonet, , , , , , , , , , , , ,"A mesonet station in Freeport measured a 31 mph wind gust at 1209 pm.","Strong winds occurred ahead of and behind low pressure and a cold front.",28
796008,NORTHERN NASSAU (ZONE), ,02/08/2019,1500,Strong Wind,35.00, ,0,1,0,0,NY,EST-5,MG,133062,Z,177,OKX,0,0,Trained Spotter, , , , , , , , , , , , ,"At 420 pm, a tree was knocked down onto a car due to gusty winds in the town of Lake Success. There was one injury according to a trained spotter.","Strong winds occurred behind a cold front.",29
865330,NORTHERN NASSAU (ZONE), ,11/01/2019,100,Strong Wind,48.00, ,0,0,100000,0,NY,EST-5,MG,144149,Z,177,OKX,0,0,Mesonet, , , , , , , , , , , , ,"The mesonet station near Kings Point measured a 55 mph wind at 1248 am. Another mesonet station in Merrick measured a 51 mph wind gust at 140 am. Around 230 am, a National Weather Service employee reported a large tree limb down on Glen Cove Road in the town of Glen Cove, blocking the southbound lane.","Strong winds occurred behind low pressure and strong cold front.",30
873338,SOUTHERN NASSAU (ZONE), ,02/07/2020,1200,Strong Wind,44.00, ,0,0,50000,0,NY,EST-5,MG,145456,Z,179,OKX,0,0,Mesonet, , , , , , , , , , , , ,"A mesonet station in Uniondale measured a 51 mph wind gust at 110 pm. In Merrick, another mesonet station measured a 50 mph wind gust at 140 pm.","Deep low pressure passed across the area.",31
