EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
609130,SOUTHERN HERKIMER (ZONE), ,01/10/2016,1900,Strong Wind,43.00, ,0,0,5000,0,NY,EST-5,EG,101841,Z,38,ALY,0,0,Trained Spotter, , , , , , , , , , , , ,"","A strong area of low pressure lifted across the Great Lakes and towards southern Canada on Sunday, January 10th.  A cold front trailing from this storm system brought a line of heavy rain showers and thunderstorms with small hail and gusty winds to the region during the afternoon hours on Sunday, January 10th.  Behind this cold front, strong winds developed over the western and southern Adirondacks, western Mohawk Valley and the Lake George-Saratoga Region, as colder air rushed in behind the storm during the evening hours.  The strongest winds were estimated up to 60 MPH over northern Herkimer County.  A strong pressure gradient resulted in gusty winds continuing through the late evening hours and overnight hours.||As a result of the strong winds, there were a significant number of power outages, especially over the western Adirondacks, with over 2000 customers without power within the Old Forge area alone.  In addition, winds downed tree limbs, which caused the temporary closures of several roads through the area.  A car was damaged on Route 22 in Granville when the vehicle struck a tree in the road downed by wind.  Numerous trees and large branches downed by the wind also damaged a car in the town of Queensbury.  According to newspaper reports, trees were downed across the roadway on Route 8 in Horicon, Goodman Road in Johnsburg and Peggy Ann Road in Queensbury. ||Although the strong winds diminished by sunrise on Monday, January 11th, it remained somewhat breezy through the day as the pressure gradient gradually relaxed over the region.  Despite this, most of the power outages were restored by the morning hours on Monday, January 11th.",1
609134,NORTHERN WASHINGTON (ZONE), ,01/10/2016,1900,Strong Wind,43.00, ,0,0,5000,0,NY,EST-5,EG,101841,Z,43,ALY,0,0,Trained Spotter, , , , , , , , , , , , ,"","A strong area of low pressure lifted across the Great Lakes and towards southern Canada on Sunday, January 10th.  A cold front trailing from this storm system brought a line of heavy rain showers and thunderstorms with small hail and gusty winds to the region during the afternoon hours on Sunday, January 10th.  Behind this cold front, strong winds developed over the western and southern Adirondacks, western Mohawk Valley and the Lake George-Saratoga Region, as colder air rushed in behind the storm during the evening hours.  The strongest winds were estimated up to 60 MPH over northern Herkimer County.  A strong pressure gradient resulted in gusty winds continuing through the late evening hours and overnight hours.||As a result of the strong winds, there were a significant number of power outages, especially over the western Adirondacks, with over 2000 customers without power within the Old Forge area alone.  In addition, winds downed tree limbs, which caused the temporary closures of several roads through the area.  A car was damaged on Route 22 in Granville when the vehicle struck a tree in the road downed by wind.  Numerous trees and large branches downed by the wind also damaged a car in the town of Queensbury.  According to newspaper reports, trees were downed across the roadway on Route 8 in Horicon, Goodman Road in Johnsburg and Peggy Ann Road in Queensbury. ||Although the strong winds diminished by sunrise on Monday, January 11th, it remained somewhat breezy through the day as the pressure gradient gradually relaxed over the region.  Despite this, most of the power outages were restored by the morning hours on Monday, January 11th.",2
609133,SOUTHEAST WARREN (ZONE), ,01/10/2016,1900,Strong Wind,43.00, ,0,0,5000,0,NY,EST-5,EG,101841,Z,83,ALY,0,0,Trained Spotter, , , , , , , , , , , , ,"","A strong area of low pressure lifted across the Great Lakes and towards southern Canada on Sunday, January 10th.  A cold front trailing from this storm system brought a line of heavy rain showers and thunderstorms with small hail and gusty winds to the region during the afternoon hours on Sunday, January 10th.  Behind this cold front, strong winds developed over the western and southern Adirondacks, western Mohawk Valley and the Lake George-Saratoga Region, as colder air rushed in behind the storm during the evening hours.  The strongest winds were estimated up to 60 MPH over northern Herkimer County.  A strong pressure gradient resulted in gusty winds continuing through the late evening hours and overnight hours.||As a result of the strong winds, there were a significant number of power outages, especially over the western Adirondacks, with over 2000 customers without power within the Old Forge area alone.  In addition, winds downed tree limbs, which caused the temporary closures of several roads through the area.  A car was damaged on Route 22 in Granville when the vehicle struck a tree in the road downed by wind.  Numerous trees and large branches downed by the wind also damaged a car in the town of Queensbury.  According to newspaper reports, trees were downed across the roadway on Route 8 in Horicon, Goodman Road in Johnsburg and Peggy Ann Road in Queensbury. ||Although the strong winds diminished by sunrise on Monday, January 11th, it remained somewhat breezy through the day as the pressure gradient gradually relaxed over the region.  Despite this, most of the power outages were restored by the morning hours on Monday, January 11th.",3
609132,NORTHERN WARREN (ZONE), ,01/10/2016,1900,Strong Wind,43.00, ,0,0,5000,0,NY,EST-5,EG,101841,Z,42,ALY,0,0,Trained Spotter, , , , , , , , , , , , ,"","A strong area of low pressure lifted across the Great Lakes and towards southern Canada on Sunday, January 10th.  A cold front trailing from this storm system brought a line of heavy rain showers and thunderstorms with small hail and gusty winds to the region during the afternoon hours on Sunday, January 10th.  Behind this cold front, strong winds developed over the western and southern Adirondacks, western Mohawk Valley and the Lake George-Saratoga Region, as colder air rushed in behind the storm during the evening hours.  The strongest winds were estimated up to 60 MPH over northern Herkimer County.  A strong pressure gradient resulted in gusty winds continuing through the late evening hours and overnight hours.||As a result of the strong winds, there were a significant number of power outages, especially over the western Adirondacks, with over 2000 customers without power within the Old Forge area alone.  In addition, winds downed tree limbs, which caused the temporary closures of several roads through the area.  A car was damaged on Route 22 in Granville when the vehicle struck a tree in the road downed by wind.  Numerous trees and large branches downed by the wind also damaged a car in the town of Queensbury.  According to newspaper reports, trees were downed across the roadway on Route 8 in Horicon, Goodman Road in Johnsburg and Peggy Ann Road in Queensbury. ||Although the strong winds diminished by sunrise on Monday, January 11th, it remained somewhat breezy through the day as the pressure gradient gradually relaxed over the region.  Despite this, most of the power outages were restored by the morning hours on Monday, January 11th.",4
609131,HAMILTON (ZONE), ,01/10/2016,1900,Strong Wind,43.00, ,0,0,5000,0,NY,EST-5,EG,101841,Z,33,ALY,0,0,Trained Spotter, , , , , , , , , , , , ,"","A strong area of low pressure lifted across the Great Lakes and towards southern Canada on Sunday, January 10th.  A cold front trailing from this storm system brought a line of heavy rain showers and thunderstorms with small hail and gusty winds to the region during the afternoon hours on Sunday, January 10th.  Behind this cold front, strong winds developed over the western and southern Adirondacks, western Mohawk Valley and the Lake George-Saratoga Region, as colder air rushed in behind the storm during the evening hours.  The strongest winds were estimated up to 60 MPH over northern Herkimer County.  A strong pressure gradient resulted in gusty winds continuing through the late evening hours and overnight hours.||As a result of the strong winds, there were a significant number of power outages, especially over the western Adirondacks, with over 2000 customers without power within the Old Forge area alone.  In addition, winds downed tree limbs, which caused the temporary closures of several roads through the area.  A car was damaged on Route 22 in Granville when the vehicle struck a tree in the road downed by wind.  Numerous trees and large branches downed by the wind also damaged a car in the town of Queensbury.  According to newspaper reports, trees were downed across the roadway on Route 8 in Horicon, Goodman Road in Johnsburg and Peggy Ann Road in Queensbury. ||Although the strong winds diminished by sunrise on Monday, January 11th, it remained somewhat breezy through the day as the pressure gradient gradually relaxed over the region.  Despite this, most of the power outages were restored by the morning hours on Monday, January 11th.",5
612128,SOUTHWEST SUFFOLK (ZONE), ,02/13/2016,1500,Strong Wind,41.00, ,0,1,20000,0,NY,EST-5,MG,102418,Z,80,OKX,0,0,Mesonet, , , , , , , , , , , , ,"At 341 pm, a measured wind gust of 47 mph was observed at State Boat Channel in southwest Suffolk County. A National Weather Service employee witnessed an accident on Ocean Parkway, near Gilgo State Park. The wind flipped a minivan on its side. The driver sustained a broken leg as a result.","Strong west winds were observed behind an arctic front.",6
619198,NEW YORK (MANHATTAN) (ZONE), ,02/16/2016,1000,Strong Wind,35.00, ,0,2,30000,0,NY,EST-5,MG,103601,Z,72,OKX,0,0,Emergency Manager, , , , , , , , , , , , ,"Strong winds blew a table off a 22 story building at 7th Avenue and West 39th street at 1115 am. ||Two people were injured.","Strong to isolated high winds occurred ahead of an area of low pressure and associated frontal boundary.",7
619200,SOUTHERN QUEENS (ZONE), ,02/16/2016,1100,Strong Wind,48.00, ,0,0,100000,0,NY,EST-5,MG,103601,Z,178,OKX,0,0,Public, , , , , , , , , , , , ,"The public reported a large tree down across the Clearview Expressway at Union Turnpike. All three lanes were blocked. At JFK International Airport, a wind gust of 55 mph was reported at 303 pm.","Strong to isolated high winds occurred ahead of an area of low pressure and associated frontal boundary.",8
619199,ORANGE (ZONE), ,02/16/2016,1100,Strong Wind,37.00, ,0,0,200000,0,NY,EST-5,MG,103601,Z,67,OKX,0,0,Trained Spotter, , , , , , , , , , , , ,"Multiple wires were downed due to strong winds in Port Jervis around 1229 pm. In Walden, trained spotters reported trees down on wires around 1239 pm. In the town of Rock Tavern, trees were reported down around 1 pm. In New Windsor, trees were knocked down around 1 pm.","Strong to isolated high winds occurred ahead of an area of low pressure and associated frontal boundary.",9
619201,NORTHERN QUEENS (ZONE), ,02/16/2016,1100,Strong Wind,44.00, ,0,0,100000,0,NY,EST-5,MG,103601,Z,176,OKX,0,0,Public, , , , , , , , , , , , ,"The public reported a large tree down across the Clearview Expressway at Union Turnpike. All three lanes were blocked. At LaGuardia Airport, a wind gust of 51 mph was reported at 259 pm.","Strong to isolated high winds occurred ahead of an area of low pressure and associated frontal boundary.",10
619202,ROCKLAND (ZONE), ,02/16/2016,1200,Strong Wind,37.00, ,0,0,50000,0,NY,EST-5,MG,103601,Z,69,OKX,0,0,Trained Spotter, , , , , , , , , , , , ,"A trained spotter reported power lines down due to the strong winds in West Nyack at 215 pm.","Strong to isolated high winds occurred ahead of an area of low pressure and associated frontal boundary.",11
